LocationCode,Operating Hrs (M-F),TimeZone,Phone,Address1,Name,CityOrTown,StateOrProvince,PostalOrZipCode,CountryCode,PlantPhone,Latitude,Longitude,LocationTypeCodes,ShippingContactEmail,ShippingContactFirstName,ShippingContactLastNameOrSurname,ShippingContactPhoneNumber,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,FulfillmentTypes,Is Disabled?,SupportsInventory,AllowFulfillmentWithNoStock,ShippingContactCompanyOrOrganization,Express,Transfer Enabled,Include In Location Export,Include In Inventory Aggregrate,Warehouse Enabled
1214-211,6:00 - 4:00,Central Standard Time,(615) 928-4750,415 Downs Blvd,Franklin Asphalt,Franklin,TN,37064,US,615-591-0221,35.908141,-86.883284,Asphalt,buggg@vmcmail.com,Garrett,Bugg,615-428-0097,,6:00AM-4:00PM,6:00AM-4:00PM,6:00AM-4:00PM,6:00AM-4:00PM,6:00AM-4:00PM,,"In Store Pickup, Delivery",No,Yes,No,Vulcan Materials ,No,No,No,No,No
1132-111,6:30 - 4:30,Eastern Standard Time,(615) 928-4750,1192 Lonesome Pine Trail,Greeneville,Greeneville,TN,37745,US,423-639-0233,36.185594,-82.863598,Aggregates,haislips@vmcmail.com,Shade,Haislip,865-203-0616,,6:30AM-4:30PM,6:30AM-4:30PM,6:30AM-4:30PM,6:30AM-4:30PM,6:30AM-4:30PM,,"In Store Pickup, Delivery",No,Yes,No,Vulcan Materials ,No,No,No,No,No
1139-132,4:00 - 6:00,Eastern Standard Time,(615) 928-4750,1980 Greystone Road,Greystone Sand & Gravel,Greeneville,TN,37743,US,423-638-5269,36.094,-82.743,Sand & Gravel,haislips@vmcmail.com,Shade,Haislip,865-203-0616,,4:00AM-6:00PM,4:00AM-6:00PM,4:00AM-6:00PM,4:00AM-6:00PM,4:00AM-6:00PM,,"In Store Pickup, Delivery",No,Yes,No,Vulcan Materials ,No,No,No,No,No
1211-111,6:00 - 4:00,Central Standard Time,(615) 928-4750,5301 Old Hickory Boulevard,Hermitage,Hermitage,TN,37076,US,615-883-2371,36.18579,-86.613274,Aggregates,steltemeierl@vmcmail.com,Lisa,Steltemeier,615-917-5484,,6:00AM-4:00PM,6:00AM-4:00PM,6:00AM-4:00PM,6:00AM-4:00PM,6:00AM-4:00PM,,"In Store Pickup, Delivery",No,Yes,No,Vulcan Materials ,No,No,No,No,No
1211-211,6:00 - 4:00,Central Standard Time,(615) 928-4750,3590 Hermitage Industrial Dr.,Hermitage Asphalt,Hermitage,TN,37076,US,615-883-8586,36.187049,-86.620755,Asphalt,buggg@vmcmail.com,Garrett,Bugg,615-428-0097,,6:00AM-4:00PM,6:00AM-4:00PM,6:00AM-4:00PM,6:00AM-4:00PM,6:00AM-4:00PM,,"In Store Pickup, Delivery",No,Yes,No,Vulcan Materials ,No,No,No,No,No
1211-141,,Central Standard Time,(615) 928-4750,5301 Old Hickory Boulevard,Hermitage Sand Yard,Hermitage,TN,37076,US,615-883-8586,36.186975,-86.620773,Aggregates,steltemeierl@vmcmail.com,Lisa,Steltemeier,615-917-5484,,,,,,,,"In Store Pickup, Delivery",No,Yes,No,Vulcan Materials ,No,No,No,No,No
1137-111,7:00 - 4:30,Eastern Standard Time,(615) 928-4750,400 Deneen Lane,Kingsport,Kingsport,TN,37660,US,423-246-9141,36.561878,-82.607504,Aggregates,haislips@vmcmail.com,Shade,Haislip,865-203-0616,,7:00AM-4:30PM,7:00AM-4:30PM,7:00AM-4:30PM,7:00AM-4:30PM,7:00AM-4:30PM,,"In Store Pickup, Delivery",No,Yes,No,Vulcan Materials ,No,No,No,No,No
1125-141,,Eastern Standard Time,(615) 928-4750,2500 Riverside Drive,Knoxville Yard,Knoxville,TN,37660,US,865-637-7513,36.067611,-83.737955,Aggregates,haislips@vmcmail.com,Shade,Haislip,865-203-0616,,,,,,,,"In Store Pickup, Delivery",No,Yes,No,Vulcan Materials ,No,No,No,No,No
1116-111,4:00 - 7:00,Eastern Standard Time,(615) 928-4750,3360 Winfield Dunn Pkwy,Kodak,Kodak,TN,37764,US,865-933-1275,35.975141,-83.603473,Aggregates,haislips@vmcmail.com,Shade,Haislip,865-203-0616,,4:00AM-7:00PM,4:00AM-7:00PM,4:00AM-7:00PM,4:00AM-7:00PM,4:00AM-7:00PM,,"In Store Pickup, Delivery",No,Yes,No,Vulcan Materials ,No,No,No,No,No
1226-211,6:00 - 4:00,Central Standard Time,(615) 928-4750,2162 Murfreesboro Rd (Hwy 231),Lebanon Asphalt,Lebanon,TN,37090,US,615-444-3402,36.139426,-86.319245,Asphalt,buggg@vmcmail.com,Garrett,Bugg,615-428-0097,,6:00AM-4:00PM,6:00AM-4:00PM,6:00AM-4:00PM,6:00AM-4:00PM,6:00AM-4:00PM,,"In Store Pickup, Delivery",No,Yes,No,Vulcan Materials ,No,No,No,No,No
1123-111,7:30 - 4:00,Eastern Standard Time,(615) 928-4750,6220 US-411,Loudon,Maryville,TN,37801,US,865-856-6611,35.648151,-84.137656,Aggregates,haislips@vmcmail.com,Shade,Haislip,865-203-0616,,7:30AM-4:00PM,7:30AM-4:00PM,7:30AM-4:00PM,7:30AM-4:00PM,7:30AM-4:00PM,,"In Store Pickup, Delivery",No,Yes,No,Vulcan Materials ,No,No,No,No,No
1113-111,4:00 - 7:00,Eastern Standard Time,(615) 928-4750,2201 Duncan Road,Maryville,Maryville,TN,37803,US,865-983-0163,35.729266,-83.947705,Aggregates,haislips@vmcmail.com,Shade,Haislip,865-203-0616,,4:00AM-7:00PM,4:00AM-7:00PM,4:00AM-7:00PM,4:00AM-7:00PM,4:00AM-7:00PM,,"In Store Pickup, Delivery",No,Yes,No,Vulcan Materials ,No,No,No,No,No
1118-111,4:00 - 7:00,Eastern Standard Time,(615) 928-4750,776 John Deere Drive,Maynardville,Maynardville,TN,37807,US,865-992-9772,36.223834,-83.850415,Aggregates,haislips@vmcmail.com,Shade,Haislip,865-203-0616,,4:00AM-7:00PM,4:00AM-7:00PM,4:00AM-7:00PM,4:00AM-7:00PM,4:00AM-7:00PM,,"In Store Pickup, Delivery",No,Yes,No,Vulcan Materials ,No,No,No,No,No
4403-141,7:00 - 3:00,Central Standard Time,(615) 928-4750,1074 Harbor Ave.,Memphis Yard,Memphis,TN,38113,US,901-774-2390,35.108437,-90.090319,Aggregates,biggsje@vmcmail.com,Jessie ,Biggs,501-281-8115,,7:00AM-3:00PM,7:00AM-3:00PM,7:00AM-3:00PM,7:00AM-3:00PM,7:00AM-3:00PM,,"In Store Pickup, Delivery",No,Yes,No,Vulcan Materials ,No,No,No,No,No
1235-113,6:30 - 4:00,Central Standard Time,(615) 928-4750,2889 Hanging Limb Road,Monterey Sand,Monterey,TN,38574,US,931-839-3320,36.158865,-85.228609,Sand & Gravel,steltemeierl@vmcmail.com,Lisa,Steltemeier,615-917-5484,,6:30AM-4:00PM,6:30AM-4:00PM,6:30AM-4:00PM,6:30AM-4:00PM,6:30AM-4:00PM,,"In Store Pickup, Delivery",No,Yes,No,Vulcan Materials ,No,No,No,No,No
1135-111,7:00 - 4:30,Eastern Standard Time,(615) 928-4750,4375 McClister Road,Morristown,Morristown,TN,37814,US,423-586-0992,36.166738,-83.211989,Aggregates,haislips@vmcmail.com,Shade,Haislip,865-203-0616,,7:00AM-4:30PM,7:00AM-4:30PM,7:00AM-4:30PM,7:00AM-4:30PM,7:00AM-4:30PM,,"In Store Pickup, Delivery",No,Yes,No,Vulcan Materials ,No,No,No,No,No
1225-211,6:00 - 4:00,Central Standard Time,(615) 928-4750,2595 NW Broad St.,Murfreesboro Asphalt,Murfreesboro,TN,37129,US,615-895-3257,35.894384,-86.442684,Asphalt,buggg@vmcmail.com,Garrett,Bugg,615-428-0097,,6:00AM-4:00PM,6:00AM-4:00PM,6:00AM-4:00PM,6:00AM-4:00PM,6:00AM-4:00PM,,"In Store Pickup, Delivery",No,Yes,No,Vulcan Materials ,No,No,No,No,No
1136-111,4:00 - 7:00,Eastern Standard Time,(615) 928-4750,630 Yorkshire Way,Newport,Newport,TN,37821,US,423-625-1415,35.937626,-83.183451,Aggregates,haislips@vmcmail.com,Shade,Haislip,865-203-0616,,4:00AM-7:00PM,4:00AM-7:00PM,4:00AM-7:00PM,4:00AM-7:00PM,4:00AM-7:00PM,,"In Store Pickup, Delivery",No,Yes,No,Vulcan Materials ,No,No,No,No,No
1266-111,6:00 - 4:00 ,Central Standard Time,(615) 366-3560,150 Rock Crusher Ln.,Parsons,Parsons,TN,38363,US,731-847-3211,35.691082,-88.110885,Aggregates,lindseyl@vmcmail.com,Larry,Lindsey,731-234-4867,,6:00AM-4:00 PM,6:00AM-4:00 PM,6:00AM-4:00 PM,6:00AM-4:00 PM,6:00AM-4:00 PM,6:00AM - 12:00PM,"In Store Pickup, Delivery",No,Yes,No,Vulcan Materials ,No,No,No,No,No
1262-111,7:00 - 4:00,Central Standard Time,(615) 928-4750,3025 Joe Dowlen Road,Pleasant View,Pleasant View,TN,37146,US,615-746-5744,36.399996,-87.002961,Aggregates,steltemeierl@vmcmail.com,Lisa,Steltemeier,615-917-5484,,7:00AM-4:00PM,7:00AM-4:00PM,7:00AM-4:00PM,7:00AM-4:00PM,7:00AM-4:00PM,,"In Store Pickup, Delivery",No,Yes,No,Vulcan Materials ,No,No,No,No,No
1217-111,6:30 - 4:00,Central Standard Time,(615) 928-4750,482 Hurst Lane,Readyville,Readyville,TN,37149,US,615-563-2601,35.807162,-86.168405,Aggregates,steltemeierl@vmcmail.com,Lisa,Steltemeier,615-917-5484,,6:30AM-4:00PM,6:30AM-4:00PM,6:30AM-4:00PM,6:30AM-4:00PM,6:30AM-4:00PM,,"In Store Pickup, Delivery",No,Yes,No,Vulcan Materials ,No,No,No,No,No
1212-111,6:30 - 4:00,Central Standard Time,(615) 928-4750,5853 River Road,River Road,Nashville,TN,37209,US,615-352-0370,36.131244,-86.920387,Aggregates,steltemeierl@vmcmail.com,Lisa,Steltemeier,615-917-5484,,6:30AM-4:00PM,6:30AM-4:00PM,6:30AM-4:00PM,6:30AM-4:00PM,6:30AM-4:00PM,,"In Store Pickup, Delivery",No,Yes,No,Vulcan Materials ,No,No,No,No,No
1212-221,6:00 - 4:00,Central Standard Time,(615) 928-4750,5849 River Road,River Road Asphalt,Nashville,TN,37209,US,615-356-0612,36.130244,-86.916852,Asphalt,buggg@vmcmail.com,Garrett,Bugg,615-428-0097,,6:00AM-4:00PM,6:00AM-4:00PM,6:00AM-4:00PM,6:00AM-4:00PM,6:00AM-4:00PM,,"In Store Pickup, Delivery",No,Yes,No,Vulcan Materials ,No,No,No,No,No
1115-111,4:00 - 7:00,Eastern Standard Time,(615) 928-4750,2500 Riverside Drive,Riverside Drive,Knoxville,TN,37914,US,865-637-7513,35.969953,-83.881409,Aggregates,haislips@vmcmail.com,Shade,Haislip,865-203-0616,,4:00AM-7:00PM,4:00AM-7:00PM,4:00AM-7:00PM,4:00AM-7:00PM,4:00AM-7:00PM,,"In Store Pickup, Delivery",No,Yes,No,Vulcan Materials ,No,No,No,No,No
1138-111,7:30 - 4:00,Eastern Standard Time,(615) 928-4750,417 Shepard's Chapel Rd,Rogersville,Rogersville,TN,37857,US,423-272-7466,36.395194,-83.064374,Aggregates,haislips@vmcmail.com,Shade,Haislip,865-203-0616,,7:30AM-4:00PM,7:30AM-4:00PM,7:30AM-4:00PM,7:30AM-4:00PM,7:30AM-4:00PM,,"In Store Pickup, Delivery",No,Yes,No,Vulcan Materials ,No,No,No,No,No
1264-111,6:00 - 4:00,Central Standard Time,(615) 366-3560,12475 Hwy. 64 East,Savannah (TN),Savannah,TN,38372,US,731-925-9091,35.244536,-88.163439,Aggregates,lindseyl@vmcmail.com,Larry,Lindsey,731-234-4867,,6:00AM-4:00PM,6:00AM-4:00PM,6:00AM-4:00PM,6:00AM-4:00PM,6:00AM-4:00PM,,"In Store Pickup, Delivery",No,Yes,No,Vulcan Materials ,No,No,No,No,No
1112-111,4:00 - 7:00,Eastern Standard Time,(615) 928-4750,1138 Park Road,Sevierville,Sevierville,TN,37862,US,865-453-7104,35.848894,-83.564241,Aggregates,haislips@vmcmail.com,Shade,Haislip,865-203-0616,,4:00AM-7:00PM,4:00AM-7:00PM,4:00AM-7:00PM,4:00AM-7:00PM,4:00AM-7:00PM,,"In Store Pickup, Delivery",No,Yes,No,Vulcan Materials ,No,No,No,No,No
1219-111,6:30 - 4:00,Central Standard Time,(615) 928-4750,1685 Railroad Avenue,Shelbyville,Shelbyville,TN,37160,US,931-680-9385,35.497537,-86.404138,Aggregates,steltemeierl@vmcmail.com,Lisa,Steltemeier,615-917-5484,,6:30AM-4:00PM,6:30AM-4:00PM,6:30AM-4:00PM,6:30AM-4:00PM,6:30AM-4:00PM,,"In Store Pickup, Delivery",No,Yes,No,Vulcan Materials ,No,No,No,No,No
1268-111,7:00 - 4:00,Central Standard Time,(615) 928-4750,4275 Highway 431 N,Springfield (TN),Springfield,TN,37172,US,615-384-3524,36.529923,-86.883085,Aggregates,steltemeierl@vmcmail.com,Lisa,Steltemeier,615-917-5484,,7:00AM-4:00PM,7:00AM-4:00PM,7:00AM-4:00PM,7:00AM-4:00PM,7:00AM-4:00PM,,"In Store Pickup, Delivery",No,Yes,No,Vulcan Materials ,No,No,No,No,No
1268-221,6:00 - 4:00,Central Standard Time,(615) 928-4750,4707 Highway 41 N,Springfield Asphalt,Springfield,TN,37172,US,615-384-4348,36.524551,-86.881952,Asphalt,buggg@vmcmail.com,Garrett,Bugg,615-428-0097,,6:00AM-4:00PM,6:00AM-4:00PM,6:00AM-4:00PM,6:00AM-4:00PM,6:00AM-4:00PM,,"In Store Pickup, Delivery",No,Yes,No,Vulcan Materials ,No,No,No,No,No
1168-111,4:00 - 7:00,Eastern Standard Time,(615) 928-4750,1700 Sands Road,Sweetwater Quarry,Sweetwater,TN,37874,US,423-337-5097,35.599264,-84.376376,Aggregates,haislips@vmcmail.com,Shade,Haislip,865-203-0616,,4:00AM-7:00PM,4:00AM-7:00PM,4:00AM-7:00PM,4:00AM-7:00PM,4:00AM-7:00PM,,"In Store Pickup, Delivery",No,Yes,No,Vulcan Materials ,No,No,No,No,No
1119-111,4:00 - 7:00,Eastern Standard Time,(615) 928-4750,Cedar Fork Road,Tazewell,Tazewell,TN,37879,US,423-626-3851,36.463629,-83.559025,Aggregates,haislips@vmcmail.com,Shade,Haislip,865-203-0616,,4:00AM-7:00PM,4:00AM-7:00PM,4:00AM-7:00PM,4:00AM-7:00PM,4:00AM-7:00PM,,"In Store Pickup, Delivery",No,Yes,No,Vulcan Materials ,No,No,No,No,No
1215-111,6:00 - 4:00,Central Standard Time,(615) 928-4750,2041 Murfreesboro Road,Wilson County,Lebanon,TN,37087,US,615-444-1540,36.14034,-86.31653,Aggregates,steltemeierl@vmcmail.com,Lisa,Steltemeier,615-917-5484,,6:00AM-4:00PM,6:00AM-4:00PM,6:00AM-4:00PM,6:00AM-4:00PM,6:00AM-4:00PM,,"In Store Pickup, Delivery",No,Yes,No,Vulcan Materials ,No,No,No,No,No
1243-121,4:00 - 7:00,Eastern Standard Time,(615) 928-4750,1280 ManchEastern Standard Timeer St,Central (KY),Lexington,KY,40504,US,859-254-2541,38.057182,-84.522382,Aggregates,nighbertb@vmcmail.com,Benton,Nighbert,859-940-9356,,4:00AM-7:00PM,4:00AM-7:00PM,4:00AM-7:00PM,4:00AM-7:00PM,4:00AM-7:00PM,,"In Store Pickup, Delivery",No,Yes,No,Vulcan Materials ,No,No,No,No,No
1244-111,4:00 - 7:00,Eastern Standard Time,(615) 928-4750,1637 Battle Training Road,Fort Knox,Elizabethtown,KY,42701,US,270-737-7022,37.785637,-85.883253,Aggregates,nighbertb@vmcmail.com,Benton,Nighbert,859-940-9356,,4:00AM-7:00PM,4:00AM-7:00PM,4:00AM-7:00PM,4:00AM-7:00PM,4:00AM-7:00PM,,"In Store Pickup, Delivery",No,Yes,No,Vulcan Materials ,No,No,No,No,No
4314-111,6:30 - 4:00,Central Standard Time,(615) 928-4750,1071 Dover Road,Grand Rivers,Grand Rivers,KY,42045,US,270-362-4264,37.026219,-88.252333,Aggregates,west-morgantij@vmcmail.com,Julie,WEST,270-508-0934,,6:30AM-4:00PM,6:30AM-4:00PM,6:30AM-4:00PM,6:30AM-4:00PM,6:30AM-4:00PM,,"In Store Pickup, Delivery",No,Yes,No,Vulcan Materials ,No,No,No,No,No
1242-121,4:00 - 7:00,Eastern Standard Time,(615) 928-4750,7430 Elk Lick Falls Road,Richmond Road,Lexington,KY,40515,US,859-263-5089,37.917188,-84.367224,Aggregates,nighbertb@vmcmail.com,Benton,Nighbert,859-940-9356,,4:00AM-7:00PM,4:00AM-7:00PM,4:00AM-7:00PM,4:00AM-7:00PM,4:00AM-7:00PM,,"In Store Pickup, Delivery",No,Yes,No,Vulcan Materials ,No,No,No,No,No
